City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,peno,56.9262,32.7426,-2.3,91,100,4.84,RU,1698361996
1,east london,-33.0153,27.9116,20.41,89,77,0.7,ZA,1698362004
2,thompson,55.7435,-97.8558,-1.91,46,100,5.66,CA,1698362006
3,badger,64.8,-147.5333,2.62,81,40,0.0,US,1698362007
4,guerrero negro,27.9769,-114.0611,20.61,63,2,7.66,MX,1698362007
5,grytviken,-54.2811,-36.5092,1.43,97,100,5.16,GS,1698362007
6,edinburgh of the seven seas,-37.0676,-12.3116,12.4,64,100,6.22,SH,1698362007
7,dengzhou,37.8086,120.7508,13.47,51,0,1.67,CN,1698362007
8,mont-joli,48.5839,-68.1921,8.17,88,88,0.89,CA,1698362009
9,utrik,11.2278,169.8474,27.91,79,60,5.2,MH,1698362009
10,wenling,28.3669,121.36,19.89,90,100,2.44,CN,1698361828
11,ribeira grande,38.5167,-28.7,18.75,62,66,5.74,PT,1698362009
12,port macquarie,-31.4333,152.9167,15.5,68,100,8.14,AU,1698361981
13,puerto ayora,-0.7393,-90.3518,24.19,89,31,3.13,EC,1698362010
14,kodiak,57.79,-152.4072,7.73,66,100,5.14,US,1698362010
15,yellowknife,62.456,-114.3525,-1.44,80,70,4.02,CA,1698361969
16,magadan,59.5667,150.8,-4.68,76,76,2.63,RU,1698361865
17,iqaluit,63.7506,-68.5145,-5.28,84,99,3.03,CA,1698362011
18,holualoa,19.6228,-155.9522,27.7,71,20,4.63,US,1698362012
19,waitangi,-43.9535,-176.5597,14.9,87,98,5.81,NZ,1698362012
20,fort st. john,56.2499,-120.8529,-1.64,64,100,1.45,CA,1698362012
21,belmonte,-15.8631,-38.8828,25.93,83,73,6.73,BR,1698362012
22,tambacounda,13.7539,-13.7586,28.95,44,45,2.87,SN,1698362013
23,tonota,-21.4833,27.4833,21.78,56,0,4.98,BW,1698362013
24,mzimba,-11.9,33.6,20.65,59,47,3.04,MW,1698362013
25,port alberni,49.2413,-124.8028,10.49,69,0,2.24,CA,1698362014
26,port-aux-francais,-49.35,70.2167,2.13,80,99,8.43,TF,1698362014
27,aykhal,66.0,111.5,-16.01,100,83,0.84,RU,1698362014
28,tiassale,5.8983,-4.8283,23.54,99,92,1.33,CI,1698362015
29,bilibino,68.0546,166.4372,-18.05,99,90,1.31,RU,1698362015
30,vorgashor,67.5833,63.95,-9.62,94,100,3.81,RU,1698362015
31,tiksi,71.6872,128.8694,-15.19,98,99,2.55,RU,1698362016
32,west island,-12.1568,96.8225,25.99,78,75,9.77,CC,1698362016
33,ilulissat,69.2167,-51.1,-0.99,59,39,7.72,GL,1698362017
34,madalena,41.2162,-8.3345,15.26,95,6,2.33,PT,1698362017
35,nantucket,41.2835,-70.0995,17.23,97,0,3.09,US,1698362018
36,flying fish cove,-10.4217,105.6791,24.82,83,75,4.63,CX,1698362018
37,bethel,41.3712,-73.414,20.93,68,57,0.45,US,1698362018
38,paracuru,-3.41,-39.0306,26.73,78,12,5.76,BR,1698362019
39,blackmans bay,-43.0167,147.3167,10.96,62,61,0.45,AU,1698362019
40,kapa'a,22.0752,-159.319,28.99,65,0,4.12,US,1698362019
41,kingsford,-33.924,151.2275,16.06,82,75,8.75,AU,1698362019
42,"laikit, laikit ii (dimembe)",1.4792,124.9735,25.47,74,20,3.09,ID,1698362020
43,chernyshevsk,52.5243,117.0174,-4.3,69,8,0.19,RU,1698362020
44,crane,31.3974,-102.3501,28.55,26,0,2.34,US,1698362020
45,saint-philippe,-21.3585,55.7679,22.77,84,8,2.64,RE,1698362020
46,sitka,57.0531,-135.33,9.94,50,0,0.0,US,1698362021
47,papatowai,-46.5619,169.4708,4.56,69,84,9.44,NZ,1698361974
48,puerto natales,-51.7236,-72.4875,5.03,73,100,1.42,CL,1698362021
49,wagini,12.6878,7.1958,25.64,18,91,2.16,NG,1698362021
50,igrim,63.1906,64.4162,-6.28,69,99,1.79,RU,1698362022
51,invercargill,-46.4,168.35,4.45,77,96,11.62,NZ,1698361731
52,hawaiian paradise park,19.5933,-154.9731,27.73,83,100,2.06,US,1698361936
53,bredasdorp,-34.5322,20.0403,14.33,74,66,3.04,ZA,1698361847
54,arad,46.3333,21.75,16.08,77,100,3.16,RO,1698362023
55,iskateley,67.6803,53.1512,-11.66,100,72,1.79,RU,1698362023
56,morahalom,46.2181,19.8851,15.42,76,98,4.16,HU,1698362023
57,san patricio,28.017,-97.5169,29.05,81,100,5.1,US,1698362023
58,adamstown,-25.066,-130.1015,22.57,79,76,4.76,PN,1698362023
59,charters towers,-20.1,146.2667,26.23,39,1,7.86,AU,1698362024
60,avarua,-21.2078,-159.775,23.03,60,75,5.14,CK,1698362024
61,farah,32.5,62.5,19.91,27,48,1.56,AF,1698362024
62,saipan,15.1355,145.701,29.39,84,40,4.63,MP,1698362024
63,arraial do cabo,-22.9661,-42.0278,22.92,88,75,2.57,BR,1698362025
64,port elizabeth,-33.918,25.5701,18.16,88,75,9.77,ZA,1698362025
65,masterton,-40.9597,175.6575,12.71,51,23,7.26,NZ,1698362025
66,vilyuysk,63.7553,121.6247,-9.44,90,100,2.68,RU,1698362025
67,franceville,-1.6333,13.5836,21.49,97,97,0.56,GA,1698362025
68,pacific grove,36.6177,-121.9166,19.37,70,0,5.81,US,1698362026
69,polyarnyy,69.1989,33.4478,-3.38,94,100,3.04,RU,1698362026
70,port alfred,-33.5906,26.891,18.43,79,75,4.02,ZA,1698362026
71,tolanaro,-25.0319,46.9987,19.55,74,98,0.82,MG,1698362026
72,amahai,-3.3333,128.9167,26.82,70,61,1.05,ID,1698362026
73,stanley,54.868,-1.6985,9.18,94,75,5.14,GB,1698361919
74,jamestown,42.097,-79.2353,19.84,55,0,4.63,US,1698361782
75,ta`u,-14.2336,-169.5144,26.41,80,100,7.48,AS,1698362027
76,wailua homesteads,22.0669,-159.378,28.24,65,0,4.12,US,1698362027
77,isafjordur,66.0755,-23.124,3.86,90,69,1.8,IS,1698362028
78,waddan,29.1614,16.139,22.29,53,0,1.42,LY,1698362028
79,thale,51.75,11.05,9.49,90,69,1.52,DE,1698362028
80,haiku-pauwela,20.9219,-156.3051,30.01,58,40,4.63,US,1698362029
81,udachny,66.4167,112.4,-19.2,100,91,0.71,RU,1698362029
82,shalkar,47.8288,59.6258,1.07,47,98,2.7,KZ,1698362029
83,el calafate,-50.3408,-72.2768,5.99,54,88,1.14,AR,1698362029
84,atafu village,-8.5421,-172.5159,28.67,77,100,6.2,TK,1698362030
85,poronaysk,49.2167,143.1167,6.58,88,100,4.53,RU,1698362030
86,rabigh,22.7986,39.0349,30.33,55,15,1.44,SA,1698362030
87,taza,34.25,-3.75,18.49,68,46,6.98,MA,1698362030
88,anadyr,64.75,177.4833,0.28,100,75,3.0,RU,1698361942
89,murzuq,25.9155,13.9184,24.21,28,0,2.14,LY,1698362031
90,port mathurin,-19.6833,63.4167,24.34,75,27,5.41,MU,1698362031
91,birganj,27.0104,84.8774,20.24,76,0,1.2,NP,1698362031
92,medenine,33.355,10.5055,22.42,40,75,3.9,TN,1698362031
93,sept-iles,50.2001,-66.3821,8.0,60,75,3.6,CA,1698362031
94,posto fiscal rolim de moura,-13.0833,-62.2667,31.2,50,47,1.76,BR,1698362032
95,ushuaia,-54.8,-68.3,0.76,91,90,0.47,AR,1698362032
96,katsuren-haebaru,26.3369,127.8719,23.01,78,20,2.57,JP,1698362033
97,lagunas,-5.2269,-75.6753,28.74,65,76,2.6,PE,1698362033
98,la sarre,48.8002,-79.1996,3.46,95,100,5.08,CA,1698361855
99,nhamunda,-2.1861,-56.7131,30.88,42,85,1.1,BR,1698362033
100,acarau,-2.8856,-40.12,25.74,78,5,7.18,BR,1698362033
101,susuman,62.7833,148.1667,-20.5,94,79,0.59,RU,1698362034
102,tateyama,34.9833,139.8667,17.28,64,49,2.3,JP,1698362034
103,ngama,11.7833,17.1667,28.39,18,17,3.02,TD,1698362034
104,puerto aysen,-45.4,-72.7,7.43,99,100,2.43,CL,1698362034
105,bathsheba,13.2167,-59.5167,27.77,74,96,3.08,BB,1698362035
106,flin flon,54.7682,-101.865,-2.09,50,100,4.12,CA,1698362035
107,akureyri,65.6835,-18.0878,-4.04,93,0,2.57,IS,1698362035
108,praia,14.9215,-23.5087,27.3,83,75,7.72,CV,1698362035
109,waingapu,-9.6567,120.2641,27.71,64,3,1.5,ID,1698362035
110,krasnozerskoye,53.9828,79.2374,-2.22,62,21,8.46,RU,1698362036
111,fuxin,42.0156,121.6589,6.72,25,21,1.27,CN,1698362036
112,wuchuan,21.4571,110.7659,22.98,86,16,2.91,CN,1698362036
113,khandyga,62.6667,135.6,-8.01,98,100,0.48,RU,1698362036
114,romanovo,52.6182,81.2271,-1.88,61,26,7.13,RU,1698362036
115,tari,12.4086,4.4914,27.37,31,89,1.93,NG,1698362037
116,fallon,39.4735,-118.7774,10.93,35,20,2.57,US,1698361592
117,dudinka,69.4058,86.1778,-12.96,99,60,1.34,RU,1698362037
118,santa rosa,14.3122,121.1114,28.93,86,69,1.82,PH,1698361960
119,faridpur,23.6,89.8333,25.39,73,75,2.79,BD,1698362038
120,al jawf,29.5,38.75,23.34,32,0,6.07,SA,1698362038
121,longyearbyen,78.2186,15.6401,-4.09,93,75,4.12,SJ,1698362038
122,georgetown,5.4112,100.3354,25.57,88,20,1.54,MY,1698362039
123,valle de la pascua,9.2155,-66.0073,25.8,73,97,1.64,VE,1698362039
124,san salvador de jujuy,-24.1946,-65.2971,17.46,82,91,0.98,AR,1698362039
125,trondheim,63.4305,10.3951,-0.95,72,15,2.47,NO,1698362039
126,kingston,17.997,-76.7936,28.45,72,80,1.34,JM,1698361852
127,aripuana,-9.1667,-60.6333,24.44,90,96,2.81,BR,1698361931
128,miri,4.4148,114.0089,24.33,91,97,1.82,MY,1698362040
129,punta arenas,-53.15,-70.9167,5.06,60,99,3.95,CL,1698362040
130,salmon arm,50.6998,-119.3024,5.73,45,92,0.51,CA,1698362040
131,peace river,56.2501,-117.286,-0.73,67,84,2.17,CA,1698361866
132,zindah jan,34.3426,61.7468,17.32,40,77,0.59,AF,1698362040
133,puerto quijarro,-17.7833,-57.7667,30.62,49,47,1.37,BO,1698361878
134,margaret river,-33.95,115.0667,13.94,49,88,5.05,AU,1698362041
135,new norfolk,-42.7826,147.0587,11.62,52,39,1.06,AU,1698362041
136,luwuk,-0.9516,122.7875,27.14,60,5,2.02,ID,1698362041
137,rudbar,30.15,62.6,24.18,26,100,0.72,AF,1698362042
138,kiunga,-6.1219,141.2906,27.15,65,90,0.19,PG,1698362042
139,vadso,70.0744,29.7487,-1.91,86,100,2.57,NO,1698362042
140,laguna,38.421,-121.4238,21.73,35,0,3.09,US,1698362042
141,pagadian,7.8257,123.437,25.82,86,81,1.05,PH,1698362043
142,constantia,44.1833,28.65,15.39,71,58,4.4,RO,1698362043
143,kavaratti,10.5669,72.642,28.31,70,20,2.08,IN,1698362043
144,santa barbara,34.7333,-120.0343,19.44,55,0,7.2,US,1698362015
145,chonchi,-42.6128,-73.8092,10.62,75,91,2.42,CL,1698362044
146,necochea,-38.5473,-58.7368,17.57,54,48,3.82,AR,1698362044
147,souillac,-20.5167,57.5167,23.21,88,20,0.0,MU,1698362044
148,cottage grove,44.8277,-92.9438,16.46,97,100,4.12,US,1698362045
149,whitehorse,60.7161,-135.0538,-2.77,75,26,1.79,CA,1698361979
150,linqiong,30.4159,103.4609,15.91,77,100,0.76,CN,1698362045
151,durango,24.8333,-104.8333,25.47,11,0,1.81,MX,1698361971
152,albany,42.6001,-73.9662,19.08,71,89,0.58,US,1698361787
153,argo,37.6333,22.7333,19.17,76,12,1.51,GR,1698362046
154,feijo,-8.1642,-70.3536,28.85,59,13,1.42,BR,1698362046
155,college,64.8569,-147.8028,2.67,77,75,0.0,US,1698361880
156,barah,13.7,30.3667,30.21,34,100,3.09,SD,1698362047
157,tocopilla,-22.092,-70.1979,17.34,73,38,2.2,CL,1698362047
158,kayyerkan,69.3786,87.7439,-14.34,96,56,1.84,RU,1698362047
159,okahao,-17.885,15.0667,23.57,30,74,2.36,NA,1698362047
160,la gi,10.6667,107.7833,25.36,86,100,1.27,VN,1698362048
161,mount pleasant,32.7941,-79.8626,23.33,81,40,3.6,US,1698362048
162,north bend,43.4065,-124.2243,13.48,62,75,2.57,US,1698362020
163,lang suan,9.9456,99.0785,24.99,89,72,0.78,TH,1698362048
164,niebull,54.7866,8.8285,8.03,90,93,5.59,DE,1698362048
165,albu kamal,34.45,40.9186,23.09,47,75,3.83,SY,1698362049
166,lubuklinggau,-3.3,102.8667,22.35,87,22,0.76,ID,1698362049
167,saint-pierre,-21.3393,55.4781,22.82,83,0,2.57,RE,1698362049
168,tura,25.5198,90.2201,19.11,90,0,1.16,IN,1698362050
169,port lincoln,-34.7333,135.8667,15.52,60,72,7.17,AU,1698362050
170,kirakira,-10.4544,161.9205,29.75,67,86,2.63,SB,1698362050
171,remire-montjoly,4.9167,-52.2667,28.02,83,0,3.6,GF,1698362050
172,talakan,50.3167,130.3667,-1.65,55,7,1.75,RU,1698362051
173,uturoa,-16.7333,-151.4333,24.99,85,100,4.4,PF,1698362051
174,la junta,37.985,-103.5438,27.26,17,19,3.2,US,1698362051
175,codrington,-38.2667,141.9667,13.31,56,14,3.86,AU,1698362051
176,sao gotardo,-19.3111,-46.0489,21.25,82,98,0.8,BR,1698361968
177,vilyuchinsk,52.9306,158.4028,4.15,67,3,2.12,RU,1698362052
178,newcastle west,52.4492,-9.0611,8.58,96,42,1.95,IE,1698362052
179,tazovsky,67.4667,78.7,-13.03,94,85,5.55,RU,1698362052
180,malanje,-9.5402,16.341,18.6,91,98,1.38,AO,1698362052
181,boende,-0.2167,20.8667,19.47,99,99,1.09,CD,1698362053
182,siwa oasis,29.2041,25.5195,23.3,42,78,0.83,EG,1698362053
183,langepas,61.2544,75.2124,-5.41,88,100,6.73,RU,1698362053
184,hamilton,39.1834,-84.5333,23.02,66,89,0.45,US,1698361228
185,suva,-18.1416,178.4415,26.71,74,75,7.2,FJ,1698362054
186,gracemere,-23.4333,150.45,22.95,16,0,7.2,AU,1698362054
187,ingeniero guillermo n. juarez,-23.9,-61.85,20.95,83,100,2.12,AR,1698362054
188,horta,38.5333,-28.6333,18.12,64,68,5.71,PT,1698362054
189,lulea,65.5842,22.1547,-0.96,100,100,1.03,SE,1698361827
190,kerikeri,-35.2268,173.9474,16.06,90,91,0.89,NZ,1698362055
191,lihue,21.9789,-159.3672,28.58,65,0,4.12,US,1698361782
192,wewak,-3.5534,143.6268,25.58,84,100,1.47,PG,1698362056
193,happy valley-goose bay,53.3168,-60.3315,1.17,75,20,4.12,CA,1698362056
194,sorong,-0.8833,131.25,27.41,75,76,5.43,ID,1698362056
195,cole harbour,44.6724,-63.4751,13.71,92,75,1.03,CA,1698362056
196,st. john's,47.5649,-52.7093,9.88,91,100,3.09,CA,1698362057
197,vila velha,-20.3297,-40.2925,25.97,89,75,3.6,BR,1698362057
198,velikiye luki,56.34,30.5452,-1.44,96,100,4.62,RU,1698362057
199,ust-nera,64.5667,143.2,-21.03,92,90,1.42,RU,1698362057
200,afaahiti,-17.75,-149.2833,25.93,87,100,2.32,PF,1698362057
201,ballina,-28.8667,153.5667,15.99,87,99,10.47,AU,1698362058
202,yeppoon,-23.1333,150.7333,22.88,22,13,5.01,AU,1698362058
203,pemangkat,1.1667,108.9667,25.27,89,96,2.51,ID,1698362058
204,al muwayh,22.4333,41.7583,22.95,45,20,6.71,SA,1698362059
205,plastun,44.7561,136.2939,4.75,58,6,3.11,RU,1698362059
206,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,60,0,3.0,RU,1698362059
207,lebu,-37.6167,-73.65,11.4,88,2,4.27,CL,1698362059
208,bodaybo,57.8506,114.1933,-0.45,94,99,1.38,RU,1698362060
209,ulsteinvik,62.3432,5.8487,4.86,80,68,1.34,NO,1698362060
210,mabaruma,8.2,-59.7833,26.03,86,100,2.41,GY,1698362060
211,goundam,16.4145,-3.6708,31.01,9,95,3.44,ML,1698362060
212,queenstown,-31.8976,26.8753,18.58,39,67,0.98,ZA,1698362061
213,bonthe,7.5264,-12.505,26.21,87,74,1.97,SL,1698362061
214,yigo village,13.5361,144.8886,29.62,82,75,2.57,GU,1698362061
215,arteche,12.2645,125.4048,27.12,76,93,1.07,PH,1698362061
216,tommot,58.9564,126.2925,-19.03,97,58,1.25,RU,1698362061
217,phan rang-thap cham,11.5667,108.9833,24.15,90,18,1.9,VN,1698362062
218,vernal,40.4555,-109.5287,8.84,24,0,7.2,US,1698362062
219,salinopolis,-0.6136,-47.3561,27.59,70,35,5.3,BR,1698361829
220,karratha,-20.7377,116.8463,32.54,19,18,9.35,AU,1698362062
221,slave lake,55.2834,-114.769,-3.01,86,100,4.63,CA,1698361814
222,as sulayyil,20.4607,45.5779,23.14,59,100,3.99,SA,1698362063
223,tsiombe,-25.3,45.4833,18.45,72,88,1.92,MG,1698362063
224,muskegon,43.3,-86.1334,18.47,92,100,7.72,US,1698362063
225,jiangyou,31.7667,104.7167,15.49,81,100,0.54,CN,1698362063
226,barrouallie,13.2333,-61.2667,25.79,83,20,1.54,VC,1698362064
227,luderitz,-26.6481,15.1594,15.86,82,6,6.94,NA,1698362064
228,kumi,36.1136,128.336,14.75,73,3,3.12,KR,1698362064
229,howrah,22.5892,88.3103,25.0,83,20,2.06,IN,1698362065
230,greymouth,-42.4667,171.2,9.35,60,91,11.59,NZ,1698362065
231,hilo,19.7297,-155.09,27.85,78,100,3.13,US,1698362065
